x0001,y0001
-1.0127450980,-0.0008980032
-1.0117647059,-0.0011213317
-1.0107843137,-0.001328595
-1.0098039216,-0.001511583
-1.0088235294,-0.0016659783
-1.0078431373,-0.0017913609
-1.0068627451,-0.0018904359
-1.0058823529,-0.0019676704
-1.0049019608,-0.0020276695
-1.0039215686,-0.0020736866
-1.0029411765,-0.002106628
-1.0019607843,-0.0021247978
-1.0009803922,-0.0021244546
-1.,-0.0021010523
-0.9990196078,-0.002050871
-0.9980392157,-0.0019726444
-0.9970588235,-0.0018687582
-0.9960784314,-0.0017457174
-0.9950980392,-0.0016136855
-0.9941176471,-0.0014851503
-0.9931372549,-0.0013729436
-0.9921568627,-0.001288003
-0.9911764706,-0.0012373364
-0.9901960784,-0.0012226222
-0.9892156863,-0.001239755
-0.9882352941,-0.0012794471
-0.987254902,-0.0013287985
-0.9862745098,-0.0013735291
-0.9852941176,-0.001400445
-0.9843137255,-0.0013996757
-0.9833333333,-0.0013662586
-0.9823529412,-0.0013008018
-0.9813725490,-0.0012091466
-0.9803921569,-0.0011011427
-0.9794117647,-0.0009888122
-0.9784313725,-0.0008842869
-0.9774509804,-0.0007979003
-0.9764705882,-0.0007367482
-0.9754901961,-0.0007039253
-0.9745098039,-0.0006984678
-0.9735294118,-0.0007159147
-0.9725490196,-0.0007492928
-0.9715686275,-0.0007902816
-0.9705882353,-0.0008303463
-0.9696078431,-0.0008616737
-0.968627451,-0.0008778402
-0.9676470588,-0.0008742143
-0.9666666667,-0.0008481522
-0.9656862745,-0.0007990641
-0.9647058824,-0.0007284027
-0.9637254902,-0.0006395922
-0.9627450980,-0.0005378638
-0.9617647059,-0.000429946
-0.9607843137,-0.000323552
-0.9598039216,-0.0002266594
-0.9588235294,-0.0001466278
-0.9578431373,-0.0000892742
-0.9568627451,-0.0000580746
-0.9558823529,-0.0000536648
-0.9549019608,-0.0000737810
-0.9539215686,-0.0001136965
-0.9529411765,-0.0001671027
-0.9519607843,-0.0002272834
-0.9509803922,-0.0002883463
-0.95,-0.0003462613
-0.9490196078,-0.0003994817
-0.9480392157,-0.0004490225
-0.9470588235,-0.0004979844
-0.9460784314,-0.0005506427
-0.9450980392,-0.0006113191
-0.9441176471,-0.00068329
-0.9431372549,-0.0007679835
-0.9421568627,-0.0008646245
-0.9411764706,-0.0009703917
-0.9401960784,-0.0010810135
-0.9392156863,-0.0011916452
-0.9382352941,-0.0012977984
-0.937254902,-0.0013961159
-0.9362745098,-0.0014848213
-0.9352941176,-0.0015637891
-0.9343137255,-0.0016342512
-0.9333333333,-0.0016982808
-0.9323529412,-0.0017581942
-0.9313725490,-0.0018160408
-0.9303921569,-0.0018732954
-0.9294117647,-0.0019307716
-0.9284313725,-0.0019887295
-0.9274509804,-0.0020470717
-0.9264705882,-0.002105518
-0.9254901961,-0.002163658
-0.9245098039,-0.002220867
-0.9235294118,-0.0022761112
-0.9225490196,-0.0023277393
-0.9215686275,-0.0023733955
-0.9205882353,-0.0024101397
-0.9196078431,-0.0024348313
-0.918627451,-0.0024447227
-0.9176470588,-0.0024381485
-0.9166666667,-0.002415115
-0.9156862745,-0.0023776232
-0.9147058824,-0.002329562
-0.9137254902,-0.0022761668
-0.9127450980,-0.002223097
-0.9117647059,-0.0021753313
-0.9107843137,-0.0021361366
-0.9098039216,-0.0021063562
-0.9088235294,-0.0020842128
-0.9078431373,-0.0020656807
-0.9068627451,-0.0020453513
-0.9058823529,-0.0020175858
-0.9049019608,-0.0019776695
-0.9039215686,-0.001922681
-0.9029411765,-0.001851877
-0.9019607843,-0.0017665166
-0.9009803922,-0.0016692164
-0.9,-0.0015630387
-0.8990196078,-0.0014506234
-0.8980392157,-0.0013336178
-0.8970588235,-0.0012126119
-0.8960784314,-0.0010875951
-0.8950980392,-0.0009588181
-0.8941176471,-0.0008277945
-0.8931372549,-0.0006981106
-0.8921568627,-0.0005757488
-0.8911764706,-0.0004687399
-0.8901960784,-0.0003861267
-0.8892156863,-0.0003364247
-0.8882352941,-0.0003258952
-0.887254902,-0.0003570365
-0.8862745098,-0.0004276636
-0.8852941176,-0.0005308247
-0.8843137255,-0.0006556182
-0.8833333333,-0.0007887702
-0.8823529412,-0.000916659
-0.8813725490,-0.0010273772
-0.8803921569,-0.001112424
-0.8794117647,-0.0011677097
-0.8784313725,-0.0011937282
-0.8774509804,-0.001194918
-0.8764705882,-0.0011784222
-0.8754901961,-0.0011525465
-0.8745098039,-0.0011252495
-0.8735294118,-0.0011029557
-0.8725490196,-0.0010898593
-0.8715686275,-0.0010877774
-0.8705882353,-0.00109646
-0.8696078431,-0.0011141977
-0.868627451,-0.0011385297
-0.8676470588,-0.0011668679
-0.8666666667,-0.0011969298
-0.8656862745,-0.0012269332
-0.8647058824,-0.0012555991
-0.8637254902,-0.0012820392
-0.8627450980,-0.0013056231
-0.8617647059,-0.0013258978
-0.8607843137,-0.0013425812
-0.8598039216,-0.0013556136
-0.8588235294,-0.0013652019
-0.8578431373,-0.0013717962
-0.8568627451,-0.0013759508
-0.8558823529,-0.0013780694
-0.8549019608,-0.0013780879
-0.8539215686,-0.0013751794
-0.8529411765,-0.0013675984
-0.8519607843,-0.0013527592
-0.8509803922,-0.0013275855
-0.85,-0.0012891133
-0.8490196078,-0.0012352443
-0.8480392157,-0.0011654998
-0.8470588235,-0.0010815854
-0.8460784314,-0.0009876104
-0.8450980392,-0.0008898632
-0.8441176471,-0.0007961256
-0.8431372549,-0.0007146216
-0.8421568627,-0.0006527805
-0.8411764706,-0.0006160484
-0.8401960784,-0.0006069897
-0.8392156863,-0.0006248719
-0.8382352941,-0.0006658395
-0.837254902,-0.000723659
-0.8362745098,-0.0007909032
-0.8352941176,-0.0008603431
-0.8343137255,-0.0009262719
