# Mediciones post-cambio de codigo. La tabla principal usa la banda muerta normal implementada.
# CAL_PI_FORCE_MIN_DEADBAND (Delta_i=1) se activo solamente para el diagnostico PSoC2 x4, N=3, excluido de la tabla principal.
# Instrumento: Tektronix TDS 2004B, 4 canales, 60 MHz. Vmedio en ventana de 100 ms tras esperar el transitorio.
# Todas las columnas en mV. Etapas en orden de cadena de senal: PGA, BP, ADDER, LP.
# Fuente cruda: docs/Propuesta Urucom/mediciones osciloscopio.txt (seccion "Post cambio codigo/software").
# PSoC 3 (Board C) NO fue re-medido con este cambio -> no aparece aca (dataset del paper: dos placas, PSoC1 y PSoC2).
# PSoC2 x1: solo se registro el default (163,33.4,234,168); no se completo la corrida calibrada -> excluido de las tablas, ver notas.
# PSoC2 x4: se detuvo a N=3 -- el default ya cae dentro de la banda muerta normal en esta placa/ganancia, hubo que
#   bajar la banda muerta a mano para que el lazo se disparara, lo que cambia la condicion de prueba respecto al resto
#   de la tabla. Se deja como evidencia de que el mecanismo de banda muerta gatea la convergencia (confirma diagnostico A1),
#   no como punto comparable de la tabla principal.
board,gain,run,default_PGA_mV,default_BP_mV,default_ADDER_mV,default_LP_mV,cal_PGA_mV,cal_BP_mV,cal_ADDER_mV,cal_LP_mV,notes
PSoC1,1,1,170,39.3,1040,-2360,168,60.6,-34.7,119,
PSoC1,1,2,186,52.5,1100,-2340,203,63.9,44.0,183,
PSoC1,1,3,194,391,1200,-1850,164,50.6,-64.6,133,391 mV confirmado por el autor; variacion real entre horas de medicion
PSoC1,1,4,179,50.3,1100,-2330,165,50.8,34.5,221,
PSoC1,1,5,169,18.6,1110,-2340,160,40.2,24.0,115,
PSoC1,1,6,167,56.7,987,-2350,161,66.9,-48,111,
PSoC1,1,7,180,36.2,1120,-2330,179,79.8,57.0,208,
PSoC1,1,8,171,28.8,1110,-2340,161,71.3,-33.9,119,
PSoC1,1,9,174,31.4,1080,-2340,164,46.8,41.3,191,
PSoC1,1,10,175,48.7,1040,-2340,162,54.2,36.9,201,
PSoC1,4,1,120,224,-245,1750,120,50.4,-41.2,188,
PSoC1,4,2,120,234,-270,1860,124,59.7,-30.4,219,
PSoC1,4,3,119,232,-284,1930,91.1,32.4,-21.6,258,
PSoC1,4,4,119,262,-388,2360,118,54,-50,156,
PSoC1,4,5,128,242,-349,2230,87.3,42.9,-58.2,181,
PSoC1,4,6,120,258,-358,2240,103,42.3,-41.8,146,
PSoC1,4,7,121,260,-370,2340,114,68.7,-53.8,212,
PSoC1,4,8,119,246,-353,2180,87.1,44.5,-69.6,140,
PSoC1,4,9,117,243,-354,2190,87.5,38.9,-67.1,218,
PSoC1,4,10,119,248,-357,2210,117,51.4,-61.6,234,
PSoC1,16,1,120,137,-202,1360,108,277,278,-139,
PSoC1,16,2,119,147,-169,1220,85,41,25,183,
PSoC1,16,3,114,170,-280,1730,86.4,55.4,-31.3,147,
PSoC1,16,4,119,193,-328,2000,83.3,61.7,-39.6,260,
PSoC1,16,5,120,169,-199,1400,89.4,38.7,73.5,101,
PSoC1,16,6,122,183,-271,1780,90.3,45.0,65.9,30.4,
PSoC1,16,7,123,174,-239,1630,86,44.1,-75.5,95.6,
PSoC1,16,8,125,210,-217,1610,102,102,-11.6,47.4,
PSoC1,16,9,122,201,-154,1290,92.3,21.5,-50.5,93.1,
PSoC1,16,10,124,295,-399,798,104,50.3,-63.8,77.2,confirmado por el usuario: ultimo valor default es +798 (no -798)
PSoC1,32,1,65.5,387,398,-755,29.5,83.3,48.5,126,
PSoC1,32,2,66.1,371,376,-644,42.1,75.5,33.4,107,
PSoC1,32,3,41,324,372,-619,25.2,21.8,21.9,124,
PSoC1,32,4,41.6,337,365,-577,21.7,41.6,17,84.8,
PSoC1,32,5,52.4,364,357,-558,21.1,31.6,42.7,85.5,
PSoC1,32,6,46.1,355,364,-631,13.3,78.0,15.6,47.2,
PSoC1,32,7,49.5,336,355,-559,18.1,13.7,15.2,83.2,
PSoC1,32,8,44.1,335,353,-533,19.5,43.9,18.1,89.2,
PSoC1,32,9,40.8,350,373,-620,18.0,65.8,29.3,81.2,
PSoC1,32,10,42,347,385,-686,17.2,43.7,38.5,12.4,
PSoC1,50,1,-68.1,32.9,-27.2,430,-44.5,57.4,120,-83.8,
PSoC1,50,2,-76.5,97.8,-13.8,291,-77.5,-3.35,6.53,-50.8,
PSoC1,50,3,-73.1,86.5,-7.74,260,-35.9,48.3,44.2,65.2,
PSoC1,50,4,-26.6,6.3,19.7,173,1.34,55.7,28.9,66.2,
PSoC1,50,5,-67.5,12.5,31.4,133,-35.5,44.0,33.8,88.4,
PSoC1,50,6,-35.7,72.0,19.8,173,-67.1,74.4,29.7,61.3,
