x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014,x0015,y0015,x0016,y0016,x0017,y0017,x0018,y0018,x0019,y0019,x0020,y0020,x0021,y0021
-0.0490196078,10.0040363710,-0.0490196078,12.000378735,-0.0490196078,14.0012211376,-0.0490196078,16.0020059759,-0.0490196078,18.0008007208,-0.0490196078,20.0064539636,-0.0490196078,22.0018989047,-0.0490196078,24.0120004444,-0.0490196078,25.992520193,-0.0490196078,27.9955064223,-0.0490196078,30.0015518735,-0.0490196078,31.9848332567,-0.0490196078,33.9620503888,-0.0490196078,35.9802012246,-0.0490196078,38.036502263,-0.0490196078,39.9993424448,-0.0490196078,41.9517140434,-0.0490196078,44.0141602644,-0.0490196078,45.9896533281,-0.0490196078,47.9986016550,-0.0490196078,50.0316221861,-0.0490196078,7.9961105302
-0.0480392157,10.0031136074,-0.0480392157,12.0003904684,-0.0480392157,14.0017778751,-0.0480392157,16.002675188,-0.0480392157,18.0009903151,-0.0480392157,20.0073776620,-0.0480392157,22.0004207015,-0.0480392157,24.0112930772,-0.0480392157,25.9940517157,-0.0480392157,27.9965050545,-0.0480392157,30.0016776284,-0.0480392157,31.985734656,-0.0480392157,33.9656170716,-0.0480392157,35.9799284892,-0.0480392157,38.0359607415,-0.0480392157,40.0043406497,-0.0480392157,41.9538102832,-0.0480392157,44.0100849678,-0.0480392157,45.9883650941,-0.0480392157,47.9991689710,-0.0480392157,50.0263644334,-0.0480392157,7.9970751752
-0.0470588235,10.0023397498,-0.0470588235,12.0003236788,-0.0470588235,14.0024262655,-0.0470588235,16.0033217805,-0.0470588235,18.0008823003,-0.0470588235,20.0082435909,-0.0470588235,21.9988464428,-0.0470588235,24.0099516765,-0.0470588235,25.9953483485,-0.0470588235,27.9977516670,-0.0470588235,30.0015490486,-0.0470588235,31.9867580173,-0.0470588235,33.9692894493,-0.0470588235,35.9802059161,-0.0470588235,38.0355096938,-0.0470588235,40.0080916712,-0.0470588235,41.9552987394,-0.0470588235,44.0065207308,-0.0470588235,45.9879764817,-0.0470588235,48.0009731312,-0.0470588235,50.0212682335,-0.0470588235,7.9988800638
-0.0460784314,10.0017501092,-0.0460784314,12.0001350306,-0.0460784314,14.0030703029,-0.0460784314,16.0038471823,-0.0460784314,18.0004480354,-0.0460784314,20.0090305416,-0.0460784314,21.9973086102,-0.0460784314,24.0082057909,-0.0460784314,25.9963173818,-0.0460784314,27.9991383824,-0.0460784314,30.0010614129,-0.0460784314,31.9878157438,-0.0460784314,33.9729617841,-0.0460784314,35.9812107727,-0.0460784314,38.0353767447,-0.0460784314,40.0105232768,-0.0460784314,41.9559854632,-0.0460784314,44.003767801,-0.0460784314,45.9886452781,-0.0460784314,48.0038275846,-0.0460784314,50.0168440549,-0.0460784314,8.0013019329
-0.0450980392,10.0013531164,-0.0450980392,11.9998120439,-0.0450980392,14.0036132827,-0.0450980392,16.0041569789,-0.0450980392,17.9997067017,-0.0450980392,20.0096929708,-0.0450980392,21.9959285525,-0.0450980392,24.0063244038,-0.0450980392,25.9969493091,-0.0450980392,28.0005371807,-0.0450980392,30.0001516278,-0.0450980392,31.9889083892,-0.0450980392,33.9766195595,-0.0450980392,35.9830497937,-0.0450980392,38.0356958944,-0.0450980392,40.011728158,-0.0450980392,41.9559173966,-0.0450980392,44.0020243745,-0.0450980392,45.9903869923,-0.0450980392,48.0073740418,-0.0450980392,50.0134351382,-0.0450980392,8.0039265522
-0.0441176471,10.0011283756,-0.0441176471,11.9993787308,-0.0441176471,14.0039742434,-0.0441176471,16.0041781868,-0.0441176471,17.9987240324,-0.0441176471,20.0101677726,-0.0441176471,21.9948002169,-0.0441176471,24.0045709596,-0.0441176471,25.9973144986,-0.0441176471,28.0018088881,-0.0441176471,29.9988149626,-0.0441176471,31.9901076704,-0.0441176471,33.9803234055,-0.0441176471,35.9857299870,-0.0441176471,38.0364877388,-0.0441176471,40.0119245232,-0.0441176471,41.9553515356,-0.0441176471,44.0013349879,-0.0441176471,45.9930778009,-0.0441176471,48.0111192456,-0.0441176471,50.0111711219,-0.0441176471,8.0062246774
-0.0431372549,10.0010295200,-0.0431372549,11.9988923831,-0.0431372549,14.0041014553,-0.0431372549,16.003873985,-0.0431372549,17.9976027088,-0.0431372549,20.0103883286,-0.0431372549,21.9939792384,-0.0431372549,24.0031634453,-0.0431372549,25.9975440268,-0.0431372549,28.0028165619,-0.0431372549,29.9971125911,-0.0431372549,31.9915171421,-0.0431372549,33.9841732691,-0.0431372549,35.9891411963,-0.0431372549,38.0376635092,-0.0431372549,40.0114088121,-0.0431372549,41.9546849226,-0.0431372549,44.0015638987,-0.0431372549,45.9964776436,-0.0431372549,48.0145014631,-0.0431372549,50.0099642858,-0.0431372549,8.0076697995
-0.0421568627,10.0009917464,-0.0421568627,11.9984320949,-0.0421568627,14.0039805694,-0.0421568627,16.0032526871,-0.0421568627,17.9964661116,-0.0421568627,20.0103026472,-0.0421568627,21.9934782875,-0.0421568627,24.0022458568,-0.0421568627,25.9977985,-0.0421568627,28.0034423991,-0.0421568627,29.9951670488,-0.0421568627,31.9932224774,-0.0421568627,33.9882631257,-0.0421568627,35.9930559140,-0.0421568627,38.0390510075,-0.0421568627,40.0105097361,-0.0421568627,41.9543634266,-0.0421568627,44.0024029264,-0.0421568627,46.0002689430,-0.0421568627,48.0169776938,-0.0421568627,50.0095446771,-0.0421568627,8.0078740448
-0.0411764706,10.0009428830,-0.0411764706,11.9980816403,-0.0411764706,14.0036360793,-0.0411764706,16.0023687155,-0.0411764706,17.9954383757,-0.0411764706,20.0098910813,-0.0411764706,21.9932685637,-0.0411764706,24.0018746363,-0.0411764706,25.9982310554,-0.0411764706,28.0036058036,-0.0411764706,29.9931451487,-0.0411764706,31.9952460178,-0.0411764706,33.9926381652,-0.0411764706,35.9971495568,-0.0411764706,38.0404361712,-0.0411764706,40.0095500072,-0.0411764706,41.9547889277,-0.0411764706,44.0034160514,-0.0411764706,46.0041043146,-0.0411764706,48.0181206693,-0.0411764706,50.0095257984,-0.0411764706,8.0067099481
-0.0401960784,10.0008160587,-0.0401960784,11.9979107281,-0.0401960784,14.0031260791,-0.0401960784,16.0013149446,-0.0401960784,17.9946243786,-0.0401960784,20.0091788793,-0.0401960784,21.9932865109,-0.0401960784,24.0020206704,-0.0401960784,25.9989519418,-0.0401960784,28.0032788475,-0.0401960784,29.9912307867,-0.0401960784,31.9975188302,-0.0401960784,33.9972653012,-0.0401960784,36.0010409979,-0.0401960784,38.0416108148,-0.0401960784,40.0088186571,-0.0401960784,41.9562433599,-0.0401960784,44.0041148785,-0.0401960784,46.0076557751,-0.0401960784,48.0177056056,-0.0401960784,50.0094866354,-0.0401960784,8.0043846491
